target	category	response	AI	Annotator 1	Annotator 2	Annotator3
provincia	PERSONE	leccesi	S	S	S	S
pace	OGGETTI	bandiera__della__pace	S	S	S	S
clima	AZIONI	ventaglio	N	N	N	N
regina	PERSONE	madre	S	S	S	S
ospedale	PERSONE	cardiologo	S	S	S	S
fiducia	AZIONI	delegare	S	S	S	S
affetto	OGGETTI	cuore	S	S	FS	S
taverna	EMOZIONI	vini	N	N	N	N
prigione	FUNZIONI	evasore	N	N	N	N
cemento	PERSONE	gentrificazione	N	FN	N	N
talento	PERSONE	chef	S	S	S	S
prigione	EMOZIONI	solitudine	S	S	S	S
affetto	AZIONI	abbracciare	S	S	S	S
amarezza	CARA	infelice	S	S	S	S
legge	CARA	autoritaria	S	S	S	S
concetto	LUOGHI	chiaro	N	N	N	FN
bacio	OGGETTI	amore	N	FS	N	FS
taverna	FUNZIONI	mangiare	S	S	S	S
torta	EMOZIONI	fragola	N	N	N	N
lealta_	LUOGHI	natura	N	S	N	FS
sveglia	CARA	fastidiosa	S	S	S	S
passione	PERSONE	ballerino	S	S	S	S
campeggio	EMOZIONI	bungalow	N	N	N	N
morale	CARA	paternale	S	S	FS	S
talento	LUOGHI	campo	S	S	S	S
urna	OGGETTI	schede	S	S	S	S
albergo	FUNZIONI	sonno	S	FN	FS	S
campeggio	OGGETTI	utensili	S	S	S	S
abitante	AZIONI	lavorare	S	S	S	S
zebra	OGGETTI	strisce__pedonali	S	FN	FS	FS
caverna	EMOZIONI	paura	S	S	S	S
soldato	PERSONE	guerra	N	FN	N	FN
estate	LUOGHI	spiagge	S	S	S	S
progresso	CARA	all_avanguardia	S	S	S	S
torta	OGGETTI	panna	S	S	S	S
zucca	LUOGHI	vacanza	N	FS	N	FN
furto	LUOGHI	villa	S	S	S	S
negozio	EMOZIONI	scarpe	N	N	N	N
paura	EMOZIONI	bosco	N	N	N	N
ira	LUOGHI	prigione	S	S	S	S
infermiera	FUNZIONI	medico	N	FN	S	FN
valanga	AZIONI	sopravvivere	S	S	S	S
protesta	PERSONE	diffondere	N	N	N	S
strage	AZIONI	tirare__delle__bombe	S	S	S	S
carnevale	AZIONI	giocare	S	S	S	S
stile	FUNZIONI	particolare	S	FS	FS	FN
reazione	OGGETTI	azione	N	S	N	FN
turno	FUNZIONI	aspettare	S	S	S	S
incubo	LUOGHI	inconscio	N	S	FN	S
sollievo	OGGETTI	medicazione	N	S	S	S
monastero	OGGETTI	giardino	S	S	S	S
forchetta	EMOZIONI	compagnia	S	N	N	FS
esplorazione	EMOZIONI	storici	N	N	N	N
piacere	LUOGHI	viaggiare	N	FN	N	FS
filosofia	FUNZIONI	scoprire	S	S	S	S
provincia	LUOGHI	grande	N	N	N	FN
urna	EMOZIONI	rabbia	S	S	S	FS
ufficio	LUOGHI	costruzione	N	S	S	FS
teschio	PERSONE	essere__umano	S	S	S	S
monastero	CARA	tranquillo	S	S	S	S
fase	LUOGHI	casa	S	S	FS	FS
gioia	AZIONI	saltellare	S	S	S	S
collina	PERSONE	nonno	S	S	S	FS
scopa	OGGETTI	mocio	S	S	S	S
schiaffo	LUOGHI	dolore	N	N	N	FN
guaio	EMOZIONI	paura	S	S	S	S
cemento	FUNZIONI	lavorare	S	S	FS	S
concetto	PERSONE	diffusione	N	FN	N	FN
abbandono	EMOZIONI	rabbia	S	S	S	S
folla	EMOZIONI	iPhone	N	N	N	N
affetto	PERSONE	amore	N	FN	FN	FN
turista	EMOZIONI	Roma	N	N	N	N
turista	LUOGHI	sole	N	N	N	S
reazione	OGGETTI	allergica	S	FN	N	N
stile	LUOGHI	passerella	S	S	N	S
collina	PERSONE	esploratore	S	S	S	S
gita	LUOGHI	classe	N	S	S	S
prigione	AZIONI	catene	N	N	N	N
pugile	CARA	arrogante	S	S	S	S
prigioniero	PERSONE	crimini	N	N	N	FN
progresso	FUNZIONI	determinazione	S	S	N	FN
protesta	OGGETTI	tamburi	S	S	S	S
tregua	AZIONI	soldati	N	S	N	N
soldato	OGGETTI	pistola	S	S	S	S
